,ID,year,month,monthly_rainfall
222,BDE,2000,7,.62
223,BDE,2000,8,.13
224,BDE,2000,9,.96
225,BDE,2000,10,.00
226,BDE,2000,11,1.19
227,BDE,2000,12,.05
228,BOW,2000,1,3.19
229,BOW,2000,2,5.92
230,BOW,2000,3,2.13
231,BOW,2000,4,19.84
232,BOW,2000,5,21.47
233,BOW,2000,6,3.85
234,BOW,2000,7,3.71
235,BOW,2000,8,4.47
236,BOW,2000,9,.72
237,BOW,2000,10,.00
238,BOW,2000,11,.00
239,BOW,2000,12,2.05
240,BDG,2000,1,.10
241,BDG,2000,2,.30
242,BDG,2000,3,.00
243,BDG,2000,4,2.70
244,BDG,2000,5,1.50
245,BDG,2000,6,.50
246,BDG,2000,7,.50
247,BDG,2000,8,.00
248,BDG,2000,9,.10
249,BDG,2000,10,.10
250,BDG,2000,11,1.00
251,BDG,2000,12,.00
252,BVL,2000,1,2.54
253,BVL,2000,2,10.24
254,BVL,2000,3,4.48
255,BVL,2000,4,15.37
256,BVL,2000,5,15.56
257,BVL,2000,6,4.73
258,BVL,2000,7,4.18
259,BVL,2000,8,2.55
260,BVL,2000,9,1.30
261,BVL,2000,10,.00
262,BVL,2000,11,.00
263,BVL,2000,12,.14
264,BCM,2000,1,4.05
265,BCM,2000,2,10.63
266,BCM,2000,3,1.82
267,BCM,2000,4,15.88
268,BCM,2000,5,31.13
269,BCM,2000,6,7.42
270,BCM,2000,7,3.24
271,BCM,2000,8,2.77
272,BCM,2000,9,.86
273,BCM,2000,10,.00
274,BCM,2000,11,.00
275,BCM,2000,12,1.12
276,CCH,2000,1,.00
277,CCH,2000,2,1.62
278,CCH,2000,3,.00
279,CCH,2000,4,1.94
280,CCH,2000,5,10.37
281,CCH,2000,6,2.76
282,CCH,2000,7,4.73
283,CCH,2000,8,.01
284,CCH,2000,9,.04
285,CCH,2000,10,.00
286,CCH,2000,11,.00
287,CCH,2000,12,.00
288,CVT,2000,1,1.90
289,CVT,2000,2,4.24
290,CVT,2000,3,.98
291,CVT,2000,4,20.90
292,CVT,2000,5,19.44
293,CVT,2000,6,3.74
294,CVT,2000,7,3.31
295,CVT,2000,8,5.02
296,CVT,2000,9,.85
297,CVT,2000,10,.00
298,CVT,2000,11,.02
299,CVT,2000,12,1.94
300,CAL,2000,1,1.29
301,CAL,2000,2,4.06
302,CAL,2000,3,.89
303,CAL,2000,4,5.53
304,CAL,2000,5,4.25
305,CAL,2000,6,1.73
306,CAL,2000,7,2.73
307,CAL,2000,8,.75
308,CAL,2000,9,.46
309,CAL,2000,10,1.16
310,CAL,2000,11,.04
311,CAL,2000,12,.12
312,CPD,2000,1,.47
313,CPD,2000,2,3.27
314,CPD,2000,3,.37
315,CPD,2000,4,6.28
